Serial_Number,Campaign_Name,Adset_Name,Ad_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,CPM,CTR,Impressions,Reporting_Date,Category
2021011500047122,期貨電子盤_下載_Android - 股票受眾,股票受眾_android_,股票受眾_Android,APP_INSTALLS,0,,,,,,0,0,7,20210115,FB
2021011500047123,期貨電子盤_下載_IOS - 股票受眾,股票受眾_IOS,股票受眾_IOS,APP_INSTALLS,1,,,,,,71.428571,0,14,20210115,FB
2021011500047124,期貨電子盤_下載_Android-自動化廣告,自動化廣告_Android,自動化廣告_Android,APP_INSTALLS,115,2,,,,,63.256326,0.49505,1818,20210115,FB
2021011500047125,期貨電子盤_下載_IOS-自動化廣告,自動化廣告_IOS,自動化廣告_IOS,APP_INSTALLS,50,,,,,,78.369906,1.410658,638,20210115,FB
2021011500047126,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android_20201211,測試1_Android_20201211,APP_INSTALLS,1,,,,,,30.30303,0,33,20210115,FB
2021011500047127,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_點燈_自動版位,上香影片,APP_INSTALLS,12,,,,,,114.285714,1.904762,105,20210115,FB
2021011500047128,武財神_APP下載_iOS_20200904,武財神__iOS_25-65+_類似受眾_點燈_自動版位,求籤圖片１,APP_INSTALLS,59,1,,,,,158.176944,1.608579,373,20210115,FB
2021011500047129,期貨電子盤_下載_IOS - 興趣期貨受眾,期貨受眾_IOS,期貨受眾_IOS,APP_INSTALLS,0,,,,,,0,0,2,20210115,FB
2021011500047130,20200922_艾蜜莉APP_IOS_下載_軟體,1%類似_基本面受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,64,5,,,,,113.274336,2.477876,565,20210115,FB
2021011500047131,20200922_艾蜜莉APP_IOS_下載_軟體,價值投資X艾蜜莉粉專最多職業受眾_IOS (便宜價),單一圖片_便宜價,APP_INSTALLS,29,1,,,,,120.33195,1.659751,241,20210115,FB
2021011500047132,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS_20201217_梗圖,測試_iOS_20201217_梗圖系列,APP_INSTALLS,13,3,,,,,61.032864,1.877934,213,20210115,FB
2021011500047133,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android_20201218,測試_Android_20201218,APP_INSTALLS,1,,,,,,38.461538,0,26,20210115,FB
2021011500047134,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_熱門股清單_iOS_20201223,測試1_iOS_20201223,APP_INSTALLS,1,,,,,,166.666667,0,6,20210115,FB
2021011500047135,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_熱門股清單_Android_20201223,測試1_Android_20201223,APP_INSTALLS,1,,,,,,31.25,0,32,20210115,FB
2021011500047136,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_同學提問_iOS_20201223,測試1_iOS_20201223,APP_INSTALLS,1,,,,,,111.111111,0,9,20210115,FB
2021011500047137,大股東_自動化應用程式安裝_安卓,大股東_自動化受眾,商店頁文案圖片,APP_INSTALLS,198,22,,,,,112.436116,2.271437,1761,20210115,FB
2021011500047138,大股東_自動化應用程式安裝_iOS,大股東_自動化受眾,商店頁文案圖片,APP_INSTALLS,800,38,,,,,120.192308,1.111779,6656,20210115,FB
2021011500047139,大股東_手動應用程式安裝_iOS,大股東_股票興趣受眾_ios,商店頁文案圖片,APP_INSTALLS,701,48,,,,,91.192923,1.157799,7687,20210115,FB
2021011500047140,大股東_手動應用程式安裝_android,大股東_股票興趣受眾_android,商店頁文案圖片,APP_INSTALLS,199,16,,,,,86.748038,1.394943,2294,20210115,FB
2021011500047141,股市爆料同學會_大眾_20201120,(大眾)股市爆料同學會_大盤漲_iOS_20201225,股市爆料同學會_大盤漲_20201225_iOS,APP_INSTALLS,53,9,,,,,63.701923,2.283654,832,20210115,FB
2021011500047142,股市爆料同學會_大眾_20201120,(大眾)股市爆料同學會_大盤漲_Android_20201225,股市爆料同學會_大盤漲_20201225_Android,APP_INSTALLS,380,48,,,,,73.815074,2.389277,5148,20210115,FB
2021011500047143,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_iOS_20201225,測試1_iOS_20201225,APP_INSTALLS,404,82,,,,,77.424301,3.967037,5218,20210115,FB
2021011500047144,股市爆料同學會_測試專用_20200606(下載),(理財A)股市爆料同學會_測試_Android_20201225,測試1_Android_20201225,APP_INSTALLS,26,6,,,,,64.676617,3.233831,402,20210115,FB
